BLZ;Institutsname;BIC;Host;URL;Ver.;PIN-1;PIN-2;DDV-1;DDV-2;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;Ku-ID;Benutzer;iTAN;UseBLZ;Hinweis;InstitutsnameLang;ValidFrom;RAH-7;RAH-9;RAH-10;IconName
25060180;Bankhaus Hallbaum;HALLDE2HXXX;ebanking.bankhaus-hallbaum.de;https://ebanking.bankhaus-hallbaum.de/fints;3.0;;ja;;;ja;ja;ja;;ja;;;ja;ja;ja;Kunden-ID;Benutzerkennung;eTAN:iTAN:mTAN~;;;Bankhaus Hallbaum;;;;;Hallbaum
25069168;VB u RB Leinebgld Delligsen;GENODEF1DES;hbci.gad.de;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;Volks- und Raiffeisenbank Leinebergland;;;;;VoBa
25069262;Raiff-VB Neustadt;GENODEF1NST;hbci.gad.de;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;Raiffeisen-Volksbank Neustadt;;;;;VoBa
25069270;Volksbank Aller-Oker;GENODEF1MUA;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;Die VR-Kennung finden Sie im Internetbanking unter Service und Verwaltung.;Volksbank Aller-Oker;;;;;VoBa
25069370;VB Vechelde-Wendeburg -alt-;GENODEF1WBU;hbci.gad.de;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-Kennung;MTAN2:SM@RTTANPLUS2:SECURESIGN:HHD1.3.1:HHD1.3.2OPT:HHD1.4:HHD1.4OPT:MS1.0.0;;Die VR-Kennung finden Sie im Internetbanking unter Service und Verwaltung.;Volksbank Vechelde-Wendeburg -alt-;;;;;VoBa
25069503;VB Diepholz-Barnstorf;GENODEF1BNT;hbci.gad.de;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-Kennung;MTAN2:SM@RTTANPLUS2:SECURESIGN:HHD1.3.1:HHD1.3.2OPT:HHD1.4:HHD1.4OPT:MS1.0.0;;Die VR-Kennung finden Sie im Internetbanking unter Service und Verwaltung.;Volksbank Diepholz-Barnstorf;;;;;VoBa
25070024;Deutsche Bank PGK Hannover;DEUTDEDBHAN;hbci.deutsche-bank.de;https://fints.deutsche-bank.de/;3.0;;ja;;;ja;;;;;;;;ja;ja;;Benutzerkennung;ITAN:MTAN:MS1.0.0;;Die Benutzerkennung setzt sich aus der 3stelligen Filialnummer (z.B. 555) plus der 7stelligen Hauptkontonummer (z.B. 1234567) plus der 2stelligen Unterkontonummer (z.B. 00) zusammen (z.B. 555123456700). Der Übertragungsweg HBCI+ muss vor der ersten Verwendung im Internetbanking unter Service / Optionen im Unterpunkt Weitere Services aktiviert werden.;Deutsche Bank Privat und Geschäftskunden;;;;;DeuBa
25070066;Deutsche Bank Stadthagen;DEUTDE2H265;hbci.deutsche-bank.de;https://fints.deutsche-bank.de/;3.0;;ja;;;ja;;;;;;;;ja;ja;;Benutzerkennung;ITAN:MTAN:MS1.0.0;;Die Benutzerkennung setzt sich aus der 3stelligen Filialnummer (z.B. 555) plus der 7stelligen Hauptkontonummer (z.B. 1234567) plus der 2stelligen Unterkontonummer (z.B. 00) zusammen (z.B. 555123456700). Der Übertragungsweg HBCI+ muss vor der ersten Verwendung im Internetbanking unter Service / Optionen im Unterpunkt Weitere Services aktiviert werden.;Deutsche Bank;;;;;DeuBa
25070070;Deutsche Bank Hannover;DEUTDE2HXXX;hbci.deutsche-bank.de;https://fints.deutsche-bank.de/;3.0;;ja;;;ja;;;;;;;;ja;ja;;Benutzerkennung;ITAN:MTAN:MS1.0.0;;Die Benutzerkennung setzt sich aus der 3stelligen Filialnummer (z.B. 555) plus der 7stelligen Hauptkontonummer (z.B. 1234567) plus der 2stelligen Unterkontonummer (z.B. 00) zusammen (z.B. 555123456700). Der Übertragungsweg HBCI+ muss vor der ersten Verwendung im Internetbanking unter Service / Optionen im Unterpunkt Weitere Services aktiviert werden.;Deutsche Bank;;;;;DeuBa
25070077;Deutsche Bank Nienburg;DEUTDE2H256;hbci.deutsche-bank.de;https://fints.deutsche-bank.de/;3.0;;ja;;;ja;;;;;;;;ja;ja;;Benutzerkennung;ITAN:MTAN:MS1.0.0;;Die Benutzerkennung setzt sich aus der 3stelligen Filialnummer (z.B. 555) plus der 7stelligen Hauptkontonummer (z.B. 1234567) plus der 2stelligen Unterkontonummer (z.B. 00) zusammen (z.B. 555123456700). Der Übertragungsweg HBCI+ muss vor der ersten Verwendung im Internetbanking unter Service / Optionen im Unterpunkt Weitere Services aktiviert werden.;Deutsche Bank;;;;;DeuBa
25070084;Deutsche Bank Soltau;DEUTDE2H258;hbci.deutsche-bank.de;https://fints.deutsche-bank.de/;3.0;;ja;;;ja;;;;;;;;ja;ja;;Benutzerkennung;ITAN:MTAN:MS1.0.0;;Die Benutzerkennung setzt sich aus der 3stelligen Filialnummer (z.B. 555) plus der 7stelligen Hauptkontonummer (z.B. 1234567) plus der 2stelligen Unterkontonummer (z.B. 00) zusammen (z.B. 555123456700). Der Übertragungsweg HBCI+ muss vor der ersten Verwendung im Internetbanking unter Service / Optionen im Unterpunkt Weitere Services aktiviert werden.;Deutsche Bank;;;;;DeuBa
25070086;Deutsche Bank Holzminden;DEUTDE2H251;hbci.deutsche-bank.de;https://fints.deutsche-bank.de/;3.0;;ja;;;ja;;;;;;;;ja;ja;;Benutzerkennung;ITAN:MTAN:MS1.0.0;;Die Benutzerkennung setzt sich aus der 3stelligen Filialnummer (z.B. 555) plus der 7stelligen Hauptkontonummer (z.B. 1234567) plus der 2stelligen Unterkontonummer (z.B. 00) zusammen (z.B. 555123456700). Der Übertragungsweg HBCI+ muss vor der ersten Verwendung im Internetbanking unter Service / Optionen im Unterpunkt Weitere Services aktiviert werden.;Deutsche Bank;;;;;DeuBa
25080020;Commerzbank Hannover;DRESDEFF250;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank vormals Dresdner Bank;;;;;CoBa
25080085;Commerzbank ITGK2 Hannov;DRESDEFFI65;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 2;;;;;CoBa
