BLZ;Institutsname;BIC;Host;URL;Ver.;PIN-1;PIN-2;DDV-1;DDV-2;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;Ku-ID;Benutzer;iTAN;UseBLZ;Hinweis;InstitutsnameLang;ValidFrom;RAH-7;RAH-9;RAH-10;IconName
51091711;vr bank Untertaunus;VRBUDE51XXX;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;vr bank Untertaunus;;;;;VoBa
51140029;Commerzbank Limburg Lahn;COBADEFFXXX;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank;;;;;CoBa
51150018;Kr Spk Limburg;HELADEF1LIM;banking-hs2.s-fints-pt-hs.de;https://banking-hs2.s-fints-pt-hs.de/fints30;3.0;;ja;ja;;;;;;;;;;;;;Anmeldename od. Leg.-ID;smsTAN~:HHD1.3.0:HHD1.3.0OPT:pushTAN~;;Bitte verwenden Sie bevorzugt Ihre Legitimations-ID. Diese erfahren Sie im Internetbanking oder bei Ihrer Sparkasse.;Kreissparkasse Limburg;;ja;;;Spk
51151919;Kr Spk Weilburg;HELADEF1WEI;banking-hs4.s-fints-pt-hs.de;https://banking-hs4.s-fints-pt-hs.de/fints30;3.0;;ja;ja;;;;;;;;;;;;;Anmeldename od. Leg.-ID;smsTAN~:HHD1.3.0:HHD1.3.0OPT:pushTAN~;;Bitte verwenden Sie bevorzugt Ihre Legitimations-ID. Diese erfahren Sie im Internetbanking oder bei Ihrer Sparkasse.;Kreissparkasse Weilburg;;ja;;;Spk
51161606;Volksbank Langendernbach;GENODE51LDD;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;Volksbank Langendernbach;;;;;VoBa
51170010;Deutsche Bank Limburg Lahn;DEUTDEFF511;hbci.deutsche-bank.de;https://fints.deutsche-bank.de/;3.0;;ja;;;ja;;;;;;;;ja;ja;;Benutzerkennung;ITAN:MTAN:MS1.0.0;;Die Benutzerkennung setzt sich aus der 3stelligen Filialnummer (z.B. 555) plus der 7stelligen Hauptkontonummer (z.B. 1234567) plus der 2stelligen Unterkontonummer (z.B. 00) zusammen (z.B. 555123456700). Der Übertragungsweg HBCI+ muss vor der ersten Verwendung im Internetbanking unter Service / Optionen im Unterpunkt Weitere Services aktiviert werden.;Deutsche Bank;;;;;DeuBa
51170024;Deutsche Bank PGK Limburg;DEUTDEDB511;hbci.deutsche-bank.de;https://fints.deutsche-bank.de/;3.0;;ja;;;ja;;;;;;;;ja;ja;;Benutzerkennung;ITAN:MTAN:MS1.0.0;;Die Benutzerkennung setzt sich aus der 3stelligen Filialnummer (z.B. 555) plus der 7stelligen Hauptkontonummer (z.B. 1234567) plus der 2stelligen Unterkontonummer (z.B. 00) zusammen (z.B. 555123456700). Der Übertragungsweg HBCI+ muss vor der ersten Verwendung im Internetbanking unter Service / Optionen im Unterpunkt Weitere Services aktiviert werden.;Deutsche Bank Privat und Geschäftskunden;;;;;DeuBa
51180041;Commerzbank Limburg Lahn;DRESDEFF511;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank vormals Dresdner Bank;;;;;CoBa
51190000;Ver Volksbank Limburg -alt-;GENODE51LIM;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;Vereinigte Volksbank Limburg -alt-;;;;;VoBa
51191200;Volksbank Goldner Grund-alt;GENODE51CAM;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;Volksbank Goldner Grund -alt-;;;;;VoBa
51191800;Volksbank Schupbach;GENODE51SBH;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;Volksbank Schupbach;;;;;VoBa
51192200;VuR-Bank Weilmünster -alt-;GENODE51WEM;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;Volks- und Raiffeisenbank Weilmünster -alt-;;;;;VoBa
51210600;BNP PARIBAS Ndl Deutschland;BNPADEFFXXX;hbciserver.bankverlag.de;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;3.0;;ja;;;ja;;;;;;;;;;Kunden-ID;Benutzerkennung;CR#0;37010600;;BNP Paribas Niederlassung Deutschland;;;;;Paribas
51210699;BNP PARIBAS Ndl Deutschland;BNPADEFFXXX;hbciserver.bankverlag.de;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;3.0;;ja;;;ja;;;;;;;;;;Kunden-ID;Benutzerkennung;CR#0;37010600;;BNP Paribas Niederlassung Deutschland;;;;;Paribas
51210700;NIBC Bank Frankfurt am Main;NZFMDEF1XXX;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/NIBCode;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;NIBC Bank Zndl Frankfurt am Main;;;;;Nibc
51210800;SOGEBANK Frankfurt Main;SOGEDEFFXXX;;;;;;;;;;;;;;;;;;;;;;;Societe Generale;;;;;
51210801;SOCIETE GENERALE Frankfurt;SOGEDEFF1XX;;;;;;;;;;;;;;;;;;;;;;;SOCIETE GENERALE;;;;;
51211000;NATIXIS Pfandbriefbank Ffm;NATXDEFPXXX;;;;;;;;;;;;;;;;;;;;;;;NATIXIS Pfandbriefbank;;;;;
51220200;SEB Merchant Banking Ffm;ESSEDEFFXXX;;;;;;;;;;;;;;;;;;;;;;;SEB Merchant Banking;;;;;
51220211;SEB Ffm SAP;ESSEDE5F512;;;;;;;;;;;;;;;;;;;;;;;SEB Frankfurt SAP;;;;;
51220400;Bank Saderat Iran Frankfurt;SIHRDEH1FFM;;;;;;;;;;;;;;;;;;;;;;;Bank Saderat Iran;;;;;
51220700;ZIRAAT BANK;TCZBDEFFXXX;hbciserver.bankverlag.de;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;3.0;ja;ja;;;ja;;ja;;ja;;;;;;Kunden-ID;Benutzerkennung;CR#0:CR#1;;;ZIRAAT BANK International;;;;;
51220800;Banco do Brasil Frankfurt;BRASDEFFXXX;;;;;;;;;;;;;;;;;;;;;;;Banco do Brasil;;;;;
51220900;Morgan Stanley Bank;MSFFDEFPXXX;;;;;;;;;;;;;;;;;;;;;;;Morgan Stanley Bank;;;;;
51220910;Morgan Stanley Bank;MSFFDEFXCND;;;;;;;;;;;;;;;;;;;;;;;Morgan Stanley Bank;;;;;
51230500;Standard Chartered Bank Ffm;SCBLDEFXXXX;;;;;;;;;;;;;;;;;;;;;;;Standard Chartered Bank Germany Branch, Frankfurt;;;;;
51230502;SCB Frankfurt am Main;SCBLDEF1ETC;;;;;;;;;;;;;;;;;;;;;;;Standard Chartered Bank Germany Branch;;;;;
51230555;Ikano Wiesbaden;PLFGDE5AIKB;;;;;;;;;;;;;;;;;;;;;;;Ikano Bank;;;;;
51230600;Europe ARAB Bank Frankfurt;ARABDEFFXXX;;;;;;;;;;;;;;;;;;;;;;;Europe ARAB Bank;;;;;
51230800;Wirecard Bank;WIREDEMMXXX;hbci.gad.de;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-Kennung;MTAN2:SM@RTTANPLUS2:SECURESIGN:HHD1.3.1:HHD1.3.2OPT:HHD1.4:HHD1.4OPT:MS1.0.0;;Die VR-Kennung finden Sie im Internetbanking unter Service und Verwaltung.;Wirecard Bank;;;;;
51230801;Wirecard Bank;WIREDEMMXXX;hbci.gad.de;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-Kennung;MTAN2:SM@RTTANPLUS2:SECURESIGN:HHD1.3.1:HHD1.3.2OPT:HHD1.4:HHD1.4OPT:MS1.0.0;;Die VR-Kennung finden Sie im Internetbanking unter Service und Verwaltung.;Wirecard Bank;;;;;
51230802;Wirecard Bank;WIREDEMMXXX;hbci.gad.de;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-Kennung;MTAN2:SM@RTTANPLUS2:SECURESIGN:HHD1.3.1:HHD1.3.2OPT:HHD1.4:HHD1.4OPT:MS1.0.0;;Die VR-Kennung finden Sie im Internetbanking unter Service und Verwaltung.;Wirecard Bank;;;;;
51230805;Wirecard Bank;WIREDEMMXXX;hbci.gad.de;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-Kennung;MTAN2:SM@RTTANPLUS2:SECURESIGN:HHD1.3.1:HHD1.3.2OPT:HHD1.4:HHD1.4OPT:MS1.0.0;;Die VR-Kennung finden Sie im Internetbanking unter Service und Verwaltung.;Wirecard Bank;;;;;
51250000;Taunus-Sparkasse Bad Hombg;HELADEF1TSK;banking-hs3.s-fints-pt-hs.de;https://banking-hs3.s-fints-pt-hs.de/fints30;3.0;;ja;ja;;;;;;;;;;;;;Anmeldename od. Leg.-ID;smsTAN~:HHD1.3.0:HHD1.3.0OPT:pushTAN~;;Bitte verwenden Sie bevorzugt Ihre Legitimations-ID. Diese erfahren Sie im Internetbanking oder bei Ihrer Sparkasse.;Taunus-Sparkasse;;ja;;;Spk
51300000;BBk Frankfurt eh Gießen;MARKDEF1513;hbciserver.bankverlag.de;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;3.0;ja;ja;;;ja;;ja;;ja;;;;;;Kunden-ID;Benutzerkennung;CR#3:CR#5 - 1.4:CR#6 - 1.4;;;Bundesbank eh Gießen;;;;;
51310111;SEB Gießen;ESSEDE5F513;;;;;;;;;;;;;;;;;;;;;;;SEB;;;;;
51340013;Commerzbank Gießen;COBADEFFXXX;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank;;;;;CoBa
51343224;Commerzbank Alsfeld;COBADEFFXXX;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank;;;;;CoBa
51350025;Sparkasse Gießen;SKGIDE5FXXX;banking-hs3.s-fints-pt-hs.de;https://banking-hs3.s-fints-pt-hs.de/fints30;3.0;;ja;ja;;;;;;;;;;;;;Anmeldename od. Leg.-ID;smsTAN~:HHD1.3.0:HHD1.3.0OPT:pushTAN~;;Bitte verwenden Sie bevorzugt Ihre Legitimations-ID. Diese erfahren Sie im Internetbanking oder bei Ihrer Sparkasse.;Sparkasse Gießen;;ja;;;Spk
51351526;Sparkasse Grünberg;HELADEF1GRU;banking-hs1.s-fints-pt-hs.de;https://banking-hs1.s-fints-pt-hs.de/fints30;3.0;;ja;ja;;;;;;;;;;;;;Anmeldename od. Leg.-ID;smsTAN~:HHD1.3.0:HHD1.3.0OPT:pushTAN~;;Bitte verwenden Sie bevorzugt Ihre Legitimations-ID. Diese erfahren Sie im Internetbanking oder bei Ihrer Sparkasse.;Sparkasse Grünberg;;ja;;;Spk
51352227;Sparkasse Laubach-Hungen;HELADEF1LAU;banking-hs2.s-fints-pt-hs.de;https://banking-hs2.s-fints-pt-hs.de/fints30;3.0;;ja;ja;;;;;;;;;;;;;Anmeldename od. Leg.-ID;smsTAN~:HHD1.3.0:HHD1.3.0OPT:pushTAN~;;Bitte verwenden Sie bevorzugt Ihre Legitimations-ID. Diese erfahren Sie im Internetbanking oder bei Ihrer Sparkasse.;Sparkasse Laubach-Hungen;;ja;;;Spk
51361021;Volksbank Heuchelheim;GENODE51HHE;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;Volksbank Heuchelheim;;;;;VoBa
51370008;Deutsche Bank Gießen;DEUTDEFF513;hbci.deutsche-bank.de;https://fints.deutsche-bank.de/;3.0;;ja;;;ja;;;;;;;;ja;ja;;Benutzerkennung;ITAN:MTAN:MS1.0.0;;Die Benutzerkennung setzt sich aus der 3stelligen Filialnummer (z.B. 555) plus der 7stelligen Hauptkontonummer (z.B. 1234567) plus der 2stelligen Unterkontonummer (z.B. 00) zusammen (z.B. 555123456700). Der Übertragungsweg HBCI+ muss vor der ersten Verwendung im Internetbanking unter Service / Optionen im Unterpunkt Weitere Services aktiviert werden.;Deutsche Bank;;;;;DeuBa
51370024;Deutsche Bank PGK Gießen;DEUTDEDB513;hbci.deutsche-bank.de;https://fints.deutsche-bank.de/;3.0;;ja;;;ja;;;;;;;;ja;ja;;Benutzerkennung;ITAN:MTAN:MS1.0.0;;Die Benutzerkennung setzt sich aus der 3stelligen Filialnummer (z.B. 555) plus der 7stelligen Hauptkontonummer (z.B. 1234567) plus der 2stelligen Unterkontonummer (z.B. 00) zusammen (z.B. 555123456700). Der Übertragungsweg HBCI+ muss vor der ersten Verwendung im Internetbanking unter Service / Optionen im Unterpunkt Weitere Services aktiviert werden.;Deutsche Bank Privat und Geschäftskunden;;;;;DeuBa
51380040;Commerzbank Gießen;DRESDEFF513;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank vormals Dresdner Bank;;;;;CoBa
51380085;Commerzbank ITGK1 Gießen;DRESDEFFJ18;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 1;;;;;CoBa
51390000;VB Mittelhessen;VBMHDE5FXXX;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;Volksbank Mittelhessen;;;;;VoBa
51410600;Bofa Merrill Lynch Intl.FFM;MELBDEF1XXX;;;;;;;;;;;;;;;;;;;;;;;Bank of America Merrill Lynch International Zndl Frankfurt;;;;;
51410700;Bank of China Frankfurt;BKCHDEFFXXX;;;;;;;;;;;;;;;;;;;;;;;Bank of China;;;;;
51410800;comdirect + GF onvista bank;BOURDEFFXXX;;;;;;;;;;;;;;;;;;;;;;;comdirect bank und GF onvista bank;;;;;
51420200;Misr Bank-Europe Ffm;MIBEDEFFXXX;;;;;;;;;;;;;;;;;;;;;;;Misr Bank-Europe;;;;;
51420300;Bank Julius Bär Frankfurt;BAERDEF1XXX;;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;3.0;ja;ja;;;;;;;;;;;;;Kunden-ID;Benutzerkennung;CR#0;;;Bank Julius Bär Europe;;;;;
51420600;Svenska Handelsbanken;HANDDEFFXXX;;;;;;;;;;;;;;;;;;;;;;;Svenska Handelsbanken Deutschland;;;;;
51430300;Nordea Bank, Frankfurt;NDEADEFFXXX;;;;;;;;;;;;;;;;;;;;;;;Nordea Bank, Niederlassung Frankfurt;;;;;
51430321;Nordea Bank Frankfurt;NDEADEFF321;;;;;;;;;;;;;;;;;;;;;;;Nordea Bank Finland;;;;;
51430345;Nordea Bank AB Frankfurt;NDEADEFFDKK;;;;;;;;;;;;;;;;;;;;;;;Nordea Bank AB, Niederlassung Frankfurt;;;;;
51430400;Goldman Sachs Frankfurt;GOLDDEFFXXX;;;;;;;;;;;;;;;;;;;;;;;Goldman Sachs;;;;;
51540037;Commerzbank Wetzlar;COBADEFFXXX;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank;;;;;CoBa
51550035;Sparkasse Wetzlar;HELADEF1WET;banking-hs1.s-fints-pt-hs.de;https://banking-hs1.s-fints-pt-hs.de/fints30;3.0;;ja;ja;;;;;;;;;;;;;Anmeldename od. Leg.-ID;smsTAN~:HHD1.3.0:HHD1.3.0OPT:pushTAN~;;Bitte verwenden Sie bevorzugt Ihre Legitimations-ID. Diese erfahren Sie im Internetbanking oder bei Ihrer Sparkasse.;Sparkasse Wetzlar;;ja;;;Spk
51570008;Deutsche Bank Wetzlar;DEUTDEFF515;hbci.deutsche-bank.de;https://fints.deutsche-bank.de/;3.0;;ja;;;ja;;;;;;;;ja;ja;;Benutzerkennung;ITAN:MTAN:MS1.0.0;;Die Benutzerkennung setzt sich aus der 3stelligen Filialnummer (z.B. 555) plus der 7stelligen Hauptkontonummer (z.B. 1234567) plus der 2stelligen Unterkontonummer (z.B. 00) zusammen (z.B. 555123456700). Der Übertragungsweg HBCI+ muss vor der ersten Verwendung im Internetbanking unter Service / Optionen im Unterpunkt Weitere Services aktiviert werden.;Deutsche Bank;;;;;DeuBa
51570024;Deutsche Bank PGK Wetzlar;DEUTDEDB515;hbci.deutsche-bank.de;https://fints.deutsche-bank.de/;3.0;;ja;;;ja;;;;;;;;ja;ja;;Benutzerkennung;ITAN:MTAN:MS1.0.0;;Die Benutzerkennung setzt sich aus der 3stelligen Filialnummer (z.B. 555) plus der 7stelligen Hauptkontonummer (z.B. 1234567) plus der 2stelligen Unterkontonummer (z.B. 00) zusammen (z.B. 555123456700). Der Übertragungsweg HBCI+ muss vor der ersten Verwendung im Internetbanking unter Service / Optionen im Unterpunkt Weitere Services aktiviert werden.;Deutsche Bank Privat und Geschäftskunden;;;;;DeuBa
51580044;Commerzbank Wetzlar;DRESDEFF515;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank vormals Dresdner Bank;;;;;CoBa
51591300;Volksbank Brandoberndorf;GENODE51WBO;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;Volksbank Brandoberndorf;;;;;VoBa
51640043;Commerzbank Dillenburg;COBADEFFXXX;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank;;;;;CoBa
51650045;Spk Dillenburg;HELADEF1DIL;banking-hs2.s-fints-pt-hs.de;https://banking-hs2.s-fints-pt-hs.de/fints30;3.0;;ja;ja;;;;;;;;;;;;;Anmeldename od. Leg.-ID;smsTAN~:HHD1.3.0:HHD1.3.0OPT:pushTAN~;;Bitte verwenden Sie bevorzugt Ihre Legitimations-ID. Diese erfahren Sie im Internetbanking oder bei Ihrer Sparkasse.;Sparkasse Dillenburg;;ja;;;Spk
51690000;Volksbank Dill;GENODE51DIL;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;Volksbank Dill;;;;;VoBa
51691500;Volksbank Herborn-Eschenbg;GENODE51HER;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;Volksbank Herborn-Eschenburg;;;;;VoBa
51752267;Sparkasse Battenberg;HELADEF1BAT;banking-hs3.s-fints-pt-hs.de;https://banking-hs3.s-fints-pt-hs.de/fints30;3.0;;ja;ja;;;;;;;;;;;;;Anmeldename od. Leg.-ID;smsTAN~:HHD1.3.0:HHD1.3.0OPT:pushTAN~;;Bitte verwenden Sie bevorzugt Ihre Legitimations-ID. Diese erfahren Sie im Internetbanking oder bei Ihrer Sparkasse.;Sparkasse Battenberg;;ja;;;Spk
51762434;VR Bank Biedenk-Gladenb;GENODE51BIK;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;VR Bank Biedenkopf-Gladenbach;;;;;VoBa
51850079;Spk Oberhessen;HELADEF1FRI;banking-hs1.s-fints-pt-hs.de;https://banking-hs1.s-fints-pt-hs.de/fints30;3.0;;ja;ja;;;;;;;;;;;;;Anmeldename od. Leg.-ID;smsTAN~:HHD1.3.0:HHD1.3.0OPT:pushTAN~;;Bitte verwenden Sie bevorzugt Ihre Legitimations-ID. Diese erfahren Sie im Internetbanking oder bei Ihrer Sparkasse.;Sparkasse Oberhessen;;ja;;;Spk
51861325;BVB Volksbank;GENODEF1BVB;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;BVB Volksbank Ndl d Frankfurter Volksbank;;;;;VoBa
51861403;Volksbank Butzbach;GENODE51BUT;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;Volksbank Butzbach;;;;;VoBa
51861616;LdBk Horlofftal Reichelshei;GENODE51REW;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;Landbank Horlofftal;;;;;VoBa
51861806;Volksbank Ober-Mörlen;GENODE51OBM;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;Volksbank Ober-Mörlen;;;;;VoBa
51961023;Volksbank Ulrichstein;GENODE51ULR;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;Volksbank Ulrichstein;;;;;VoBa
51961515;Spar-u Darlehnskasse;GENODE51HSH;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;Spar- und Darlehnskasse Stockhausen;;;;;VoBa
51961801;Volksbank Feldatal;GENODE51FEL;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;Volksbank Feldatal;;;;;VoBa
51990000;Volksbank Lauterbach-Schl;GENODE51LB1;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;Volksbank Lauterbach-Schlitz;;;;;VoBa
52010111;SEB Kassel;ESSEDE5F520;;;;;;;;;;;;;;;;;;;;;;;SEB;;;;;
52040021;Commerzbank Kassel;COBADEFFXXX;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank;;;;;CoBa
52050000;Landeskreditkasse Kassel;HELADEFF520;;;;;;;;;;;;;;;;;;;;;;;Landeskreditkasse Kassel;;;;;Spk
52050353;Kasseler Sparkasse;HELADEF1KAS;banking-hs3.s-fints-pt-hs.de;https://banking-hs3.s-fints-pt-hs.de/fints30;3.0;;ja;ja;;;;;;;;;;;;;Anmeldename od. Leg.-ID;smsTAN~:HHD1.3.0:HHD1.3.0OPT:pushTAN~;;Bitte verwenden Sie bevorzugt Ihre Legitimations-ID. Diese erfahren Sie im Internetbanking oder bei Ihrer Sparkasse.;Kasseler Sparkasse;;ja;;;Spk
52051373;St Spk Borken;HELADEF1BOR;banking-hs2.s-fints-pt-hs.de;https://banking-hs2.s-fints-pt-hs.de/fints30;3.0;;ja;ja;;;;;;;;;;;;;Anmeldename od. Leg.-ID;smsTAN~:HHD1.3.0:HHD1.3.0OPT:pushTAN~;;Bitte verwenden Sie bevorzugt Ihre Legitimations-ID. Diese erfahren Sie im Internetbanking oder bei Ihrer Sparkasse.;Stadtsparkasse Borken (Hessen);;ja;;;Spk
52051555;St Spk Felsberg -alt-;HELADEF1FEL;banking-hs4.s-fints-pt-hs.de;https://banking-hs4.s-fints-pt-hs.de/fints30;3.0;;ja;ja;;;;;;;;;;;;;Anmeldename od. Leg.-ID;smsTAN~:HHD1.3.0:HHD1.3.0OPT:pushTAN~;;Bitte verwenden Sie bevorzugt Ihre Legitimations-ID. Diese erfahren Sie im Internetbanking oder bei Ihrer Sparkasse.;Stadtsparkasse Felsberg -alt-;;ja;;;Spk
52051877;St Spk Grebenstein;HELADEF1GRE;banking-hs4.s-fints-pt-hs.de;https://banking-hs4.s-fints-pt-hs.de/fints30;3.0;;ja;ja;;;;;;;;;;;;;Anmeldename od. Leg.-ID;smsTAN~:HHD1.3.0:HHD1.3.0OPT:pushTAN~;;Bitte verwenden Sie bevorzugt Ihre Legitimations-ID. Diese erfahren Sie im Internetbanking oder bei Ihrer Sparkasse.;Stadtsparkasse Grebenstein;;ja;;;Spk
52052154;Kreissparkasse Schwalm-Eder;HELADEF1MEG;banking-hs4.s-fints-pt-hs.de;https://banking-hs4.s-fints-pt-hs.de/fints30;3.0;;ja;ja;;;;;;;;;;;;;Anmeldename od. Leg.-ID;smsTAN~:HHD1.3.0:HHD1.3.0OPT:pushTAN~;;Bitte verwenden Sie bevorzugt Ihre Legitimations-ID. Diese erfahren Sie im Internetbanking oder bei Ihrer Sparkasse.;Kreissparkasse Schwalm-Eder;;ja;;;Spk
52053458;St Spk Schwalmstadt;HELADEF1SWA;banking-hs2.s-fints-pt-hs.de;https://banking-hs2.s-fints-pt-hs.de/fints30;3.0;;ja;ja;;;;;;;;;;;;;Anmeldename od. Leg.-ID;smsTAN~:HHD1.3.0:HHD1.3.0OPT:pushTAN~;;Bitte verwenden Sie bevorzugt Ihre Legitimations-ID. Diese erfahren Sie im Internetbanking oder bei Ihrer Sparkasse.;Stadtsparkasse Schwalmstadt;;ja;;;Spk
52060000;DZ BANK;GENODEFF520;;;;;;;;;;;;;;;;;;;;;;;DZ BANK;;;;;VoBa
